HD,County,Clinton,Trump,Total,Clinton%,Trump%,,,,,,,,,,,,,,,,,,,
1,New Castle (pt.),"9,212","1,015","10,547",87.34%,9.62%,,,,,,,,,,,,,,,,,,,
1 Total,,"9,212","1,015","10,547",87.34%,9.62%,,,,,,,,,,,,,,,,,,,
2,New Castle (pt.),"6,511",610,"7,338",88.72%,8.32%,,,,,,,,,,,,,,,,,,,
2 Total,,"6,511",610,"7,338",88.72%,8.32%,,,,,,,,,,,,,,,,,,,
3,New Castle (pt.),"6,159",897,"7,258",84.86%,12.35%,,,,,,,,,,,,,,,,,,,
3 Total,,"6,159",897,"7,258",84.86%,12.35%,,,,,,,,,,,,,,,,,,,
4,New Castle (pt.),"7,821","3,900","12,425",62.94%,31.39%,,,,,,,,,,,,,,,,,,,
4 Total,,"7,821","3,900","12,425",62.94%,31.39%,,,,,,,,,,,,,,,,,,,
5,New Castle (pt.),"7,896","1,833","10,057",78.51%,18.23%,,,,,,,,,,,,,,,,,,,
5 Total,,"7,896","1,833","10,057",78.51%,18.23%,,,,,,,,,,,,,,,,,,,
6,New Castle (pt.),"7,731","4,345","12,765",60.56%,34.04%,,,,,,,,,,,,,,,,,,,
6 Total,,"7,731","4,345","12,765",60.56%,34.04%,,,,,,,,,,,,,,,,,,,
7,New Castle (pt.),"7,168","3,818","11,607",61.76%,32.89%,,,,,,,,,,,,,,,,,,,
7 Total,,"7,168","3,818","11,607",61.76%,32.89%,,,,,,,,,,,,,,,,,,,
8,New Castle (pt.),"6,366","4,691","11,629",54.75%,40.34%,,,,,,,,,,,,,,,,,,,
8 Total,,"6,366","4,691","11,629",54.75%,40.34%,,,,,,,,,,,,,,,,,,,
9,New Castle (pt.),"6,207","6,443","13,364",46.45%,48.21%,,,,,,,,,,,,,,,,,,,
9 Total,,"6,207","6,443","13,364",46.45%,48.21%,,,,,,,,,,,,,,,,,,,
10,New Castle (pt.),"6,638","4,144","11,369",58.39%,36.45%,,,,,,,,,,,,,,,,,,,
10 Total,,"6,638","4,144","11,369",58.39%,36.45%,,,,,,,,,,,,,,,,,,,
11,Kent (pt.),"1,580","3,726","5,621",28.10%,66.27%,,,,,,,,,,,,,,,,,,,
,New Castle (pt.),"1,861","2,363","4,478",41.56%,52.78%,,,,,,,,,,,,,,,,,,,
11 Total,,"3,441","6,089","10,099",34.07%,60.29%,,,,,,,,,,,,,,,,,,,
12,New Castle (pt.),"7,668","5,990","14,457",53.04%,41.44%,,,,,,,,,,,,,,,,,,,
12 Total,,"7,668","5,990","14,457",53.04%,41.44%,,,,,,,,,,,,,,,,,,,
13,New Castle (pt.),"5,756","3,367","9,635",59.74%,34.95%,,,,,,,,,,,,,,,,,,,
13 Total,,"5,756","3,367","9,635",59.74%,34.95%,,,,,,,,,,,,,,,,,,,
14,Sussex (pt.),"7,525","7,033","15,026",50.08%,46.81%,,,,,,,,,,,,,,,,,,,
14 Total,,"7,525","7,033","15,026",50.08%,46.81%,,,,,,,,,,,,,,,,,,,
15,New Castle (pt.),"7,505","4,076","12,127",61.89%,33.61%,,,,,,,,,,,,,,,,,,,
15 Total,,"7,505","4,076","12,127",61.89%,33.61%,,,,,,,,,,,,,,,,,,,
16,New Castle (pt.),"7,267","1,558","9,120",79.69%,17.08%,,,,,,,,,,,,,,,,,,,
16 Total,,"7,267","1,558","9,120",79.69%,17.08%,,,,,,,,,,,,,,,,,,,
17,New Castle (pt.),"6,537","2,728","9,691",67.45%,28.15%,,,,,,,,,,,,,,,,,,,
17 Total,,"6,537","2,728","9,691",67.45%,28.15%,,,,,,,,,,,,,,,,,,,
18,New Castle (pt.),"6,331","2,670","9,478",66.80%,28.17%,,,,,,,,,,,,,,,,,,,
18 Total,,"6,331","2,670","9,478",66.80%,28.17%,,,,,,,,,,,,,,,,,,,
19,New Castle (pt.),"5,488","4,059","10,096",54.36%,40.20%,,,,,,,,,,,,,,,,,,,
19 Total,,"5,488","4,059","10,096",54.36%,40.20%,,,,,,,,,,,,,,,,,,,
20,Sussex (pt.),"6,623","8,190","15,460",42.84%,52.98%,,,,,,,,,,,,,,,,,,,
20 Total,,"6,623","8,190","15,460",42.84%,52.98%,,,,,,,,,,,,,,,,,,,
21,New Castle (pt.),"6,500","4,853","12,072",53.84%,40.20%,,,,,,,,,,,,,,,,,,,
21 Total,,"6,500","4,853","12,072",53.84%,40.20%,,,,,,,,,,,,,,,,,,,
22,New Castle (pt.),"7,184","6,030","13,941",51.53%,43.26%,,,,,,,,,,,,,,,,,,,
22 Total,,"7,184","6,030","13,941",51.53%,43.26%,,,,,,,,,,,,,,,,,,,
23,New Castle (pt.),"5,237","2,913","8,738",59.93%,33.33%,,,,,,,,,,,,,,,,,,,
23 Total,,"5,237","2,913","8,738",59.93%,33.33%,,,,,,,,,,,,,,,,,,,
24,New Castle (pt.),"5,919","3,377","9,905",59.76%,34.09%,,,,,,,,,,,,,,,,,,,
24 Total,,"5,919","3,377","9,905",59.76%,34.09%,,,,,,,,,,,,,,,,,,,
25,New Castle (pt.),"4,624","2,659","7,781",59.44%,34.18%,,,,,,,,,,,,,,,,,,,
25 Total,,"4,624","2,659","7,781",59.44%,34.18%,,,,,,,,,,,,,,,,,,,
26,New Castle (pt.),"6,523","2,612","9,617",67.83%,27.17%,,,,,,,,,,,,,,,,,,,
26 Total,,"6,523","2,612","9,617",67.83%,27.17%,,,,,,,,,,,,,,,,,,,
27,New Castle (pt.),"6,808","4,573","12,012",56.68%,38.07%,,,,,,,,,,,,,,,,,,,
27 Total,,"6,808","4,573","12,012",56.68%,38.07%,,,,,,,,,,,,,,,,,,,
28,Kent (pt.),"5,307","4,226","10,040",52.86%,42.09%,,,,,,,,,,,,,,,,,,,
28 Total,,"5,307","4,226","10,040",52.86%,42.09%,,,,,,,,,,,,,,,,,,,
29,Kent (pt.),"5,361","5,444","11,317",47.38%,48.10%,,,,,,,,,,,,,,,,,,,
29 Total,,"5,361","5,444","11,317",47.38%,48.10%,,,,,,,,,,,,,,,,,,,
30,Kent (pt.),"2,647","6,176","9,263",28.57%,66.67%,,,,,,,,,,,,,,,,,,,
30 Total,,"2,647","6,176","9,263",28.57%,66.67%,,,,,,,,,,,,,,,,,,,
31,Kent (pt.),"5,512","2,927","8,964",61.48%,32.66%,,,,,,,,,,,,,,,,,,,
31 Total,,"5,512","2,927","8,964",61.48%,32.66%,,,,,,,,,,,,,,,,,,,
32,Kent (pt.),"4,235","2,715","7,394",57.28%,36.72%,,,,,,,,,,,,,,,,,,,
32 Total,,"4,235","2,715","7,394",57.28%,36.72%,,,,,,,,,,,,,,,,,,,
33,Kent (pt.),"3,879","5,897","10,324",37.57%,57.12%,,,,,,,,,,,,,,,,,,,
33 Total,,"3,879","5,897","10,324",37.57%,57.12%,,,,,,,,,,,,,,,,,,,
34,Kent (pt.),"4,830","5,880","11,335",42.61%,51.87%,,,,,,,,,,,,,,,,,,,
